,School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,# Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N
0,2016 - 17,P.S. M079 - Horan School,M079,M,5,508.0,,1,657.0,IS 070M,P.S. 076 A. Philip Randolph,0.0,2.0,2.0
1,2016 - 17,P.S./I.S. 210 - Twenty-first Century Academy for C,M210,M,6,277.0,,2,701.0,PS/IS 089M,P.S. 092 Mary McLeod Bethune I St. Hope Leadership Academy Charter ,1.0,3.0,2.0
2,2016 - 17,888 REV J A POLITE AVE CONSOLIDATED LOCATION,X060,X,8,248.0,2111 CROTONA AVENUE CONSOLIDATED LOCATION,2,370.0,PS 047X,P.S. 057 Crescent |  Frederick Douglass Academy V. Middle School |  2111 CROTONA AVENUE CONSOLIDATED LOCATION,,,
3,2016 - 17,P.S. 333 - The Museum School,X333,X,8,502.0,,1,372.0,PS 050X,P.S. 058,0.0,2.0,3.0
4,2016 - 17,The Academy of the Arts,X335,X,8,604.0,,1,372.0,PS 050X,P.S. 059 The Community School of Technology,1.0,0.0,0.0
5,2016 - 17,1180 REV. J.A. POLITE AVE. CONSOLIDATED LOCATION,X099,X,12,210.0,1619 BOSTON ROAD CONSOLIDATED LOCATION,3,428.0,CS 090X,J.H.S. 098 Herman Ridder |  Explorations Academy  |    Bronx Envision Academy |  1619 BOSTON ROAD CONSOLIDATED LOCATION,,,
6,2016 - 17,P.S. 160 Walt Disney,X160,X,11,296.0,800 HOME STREET CONSOLIDATED LOCATION,3,404.0,PS 152X,Bronx Latin|Bronx Career and College Preparatory High School|Dr. Richard Izquierdo Health and Science Charter S|800 HOME STREET CONSOLIDATED LOCATION,,,
7,2016 - 17,ROADS Charter School II,X200,X,12,387.0,1110 BOSTON ROAD CONSOLIDATED LOCATION,4,524.0,PS/MS 306X,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,,,
8,2016 - 17,Arturo A. Schomburg Satellite Academy Bronx,X446,X,12,288.0,1110 BOSTON ROAD CONSOLIDATED LOCATION,4,524.0,PS/MS 306X,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,,,
9,2016 - 17,Bronx Regional High School,X480,X,12,1463.0,1110 BOSTON ROAD CONSOLIDATED LOCATION,4,524.0,PS/MS 306X,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,2.0,4.0,30.0
10,2016 - 17,1010 REV. J. A. POLITE AVENUE CONSOLIDATED LOCATION,X401,X,12,240.0,1010 REV. J. A. POLITE AVENUE CONSOLIDATED LOCATION,3,1382.0,Academy for Scholarship & Entrepreneurship:A College Board School,Arturo A. Schomburg Satellite Academy Bronx|  Bronx Regional High School|  ROADS Charter School II|  1010 REV. J. A. POLITE AVENUE CONSOLIDATED LOCATION,,,
11,2016 - 17,Thurgood Marshall Academy Lower School,M318,M,5,389.0,,1,,,P.S. 051 Elias Howe,0.0,1.0,0.0
12,2016 - 17,P.S. 083 Luis Munoz Rivera,M083,M,4,263.0,,1,585.0,PS 072M,P.S. M079 - Horan School,0.0,1.0,0.0
13,2016 - 17,Dr. Susan S. McKinney Secondary School of the Arts,K265,K,13,500.0,,1,1031.0,PS 262K,P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,0.0,0.0,1.0
14,2016 - 17,P.S. 048 Mapleton,K048,K,20,590.0,,1,70.0,PS 046K,P.S. 048 Mapleton,0.0,0.0,0.0
15,2016 - 17,P.S. 208 Alain L. Locke,M208,M,3,479.0,508 EAST 120 STREET CONSOLIDATED LOCATION,2,632.0,PS 198M,River East Elementary |  P.S. 206 Jose Celso Barbosa |  508 EAST 120 STREET CONSOLIDATED LOCATION,,,
16,2016 - 17,SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH(BS),K781,K,22,346.0,1420 East 68 Street CONSOLIDATED LOCATION,2,78.0,PS 075K,J.H.S. 078 Roy H. Mann |SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH(BS)  | CONSOLIDATED LOCATION,,,
17,2016 - 17,The Urban Assembly School for Emergency Management,M135,M,2,212.0,198 FORSYTH STREET CONSOLIDATED LOCATION,2,534.0,CHOIR ACADEMY,Forsyth Satellite Academy |  Cascades High School |  198 FORSYTH STREET CONSOLIDATED LOCATION,,,
18,2016 - 17,P.S. 372 -The Children's School,K372,K,15,201.0,,1,1043.0,METROPOLITAN CORP. ACADEMY,South Brooklyn Community High School,1.0,2.0,1.0
19,2016 - 17,185 1 AVENUE CONSOLIDATED LOCATION,M019,M,1,127.0,185 1 AVENUE CONSOLIDATED LOCATION,2,549.0,JHS 013M,"P.S. 019 Asher Levy |  Technology, Arts, and Sciences Studio |  185 1 AVENUE CONSOLIDATED LOCATION",,,
20,2016 - 17,223 EAST 23 STREET CONSOLIDATED LOCATION,M047,M,2,195.0,223 EAST 23 STREET CONSOLIDATED LOCATION,2,550.0,JHS 044M,47 The American Sign Language and English Secondar |  The 47 American Sign Language & English Lower Scho |  223 EAST 23 STREET CONSOLIDATED LOCATION,,,
21,2016 - 17,284 BALTIC STREET CONSOLIDATED LOCATION,K293,K,15,563.0,284 BALTIC STREET CONSOLIDATED LOCATION,3,26.0,IS 291K,Brooklyn School for Global Studies | Success Academy C harter School- Cobble Hill |   School for International Studies |  284 BALTIC STREET CONSOLIDATED LOCATION,,,
22,2016 - 17,N.Y.C. Lab School for Collaborative Studies,M412,M,2,541.0,333 WEST  17 STREET CONSOLIDATED LOCATION,3,689.0,PS 064M,New York City Lab Middle School for Collaborative |  N.Y.C. Lab School for Collaborative Studies |  N.Y.C. Museum School |  333 WEST  17 STREET CONSOLIDATED LOCATION,,,
23,2016 - 17,Academy for Health Careers,K751,K,17,573.0,150 ALBANY AVENUE CONSOLIDATED LOCATION,2,3.0,AUTOMOTIVE HS,Pathways in Technology Early College High School  |  Academy for Health Careers |  150 ALBANY AVENUE CONSOLIDATED LOCATION,,,
24,2016 - 17,911 FLATBUSH AVENUE CONSOLIDATED LOCATION,K465,K,17,559.0,911 FLATBUSH AVENUE CONSOLIDATED LOCATION,6,184.0,JOHN JAY HS,"Academy for College Preparation and Career Explora |  Academy of Hospitality and Tourism |  Erasmus Yabc |  High School for Youth and Community Development at |  High School for Service & Learning at Erasmus |  Science, Technology and Research Early College Hig |  911 FLATBUSH AVENUE CONSOLIDATED LOCATION",,,
25,2016 - 17,Eagle Academy for Young Men of Harlem,M148,M,5,354.0,293 EAST BROADWAY CONSOLIDATED LOCATION,1,658.0,IS 131M,P.S. 134 Henrietta Szold |  293 EAST BROADWAY CONSOLIDATED LOCATION,0.0,0.0,3.0
26,2016 - 17,Middle School for Art and Philosophy,K588,K,18,191.0,1084 LENOX ROAD CONSOLIDATED LOCATION,2,280.0,PS 247K,Middle School for Art and Philosophy|  KINGS COLLEGIATE CHARTER SCHOOL(BS)|  1084 LENOX ROAD CONSOLIDATED LOCATION,2.0,1.0,1.0
27,2016 - 17,Lower East Side Preparatory High School,M515,M,1,204.0,145 STANTON STREET CONSOLIDATED LOCATION,3,661.0,JHS 025M - MARTA VALLE,Marta Valle High School |  Lower East Side Preparatory High School |  145 STANTON STREET CONSOLIDATED LOCATION,,,
28,2016 - 17,600 EAST  6 STREET CONSOLIDATED LOCATION,M064,M,1,374.0,600 EAST  6 STREET CONSOLIDATED LOCATION,3,687.0,PS 061M,P.S. 064 Robert Simon |  Earth School |  Tompkins Square Middle School |  600 EAST  6 STREET CONSOLIDATED LOCATION,,,
29,2016 - 17,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,K025,K,16,228.0,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,2,202.0,PS 024K,P.S. 025 Eubie Blake School |  Success Academy Charter School - Bed Stuy 3 |  787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,0.0,0.0,6.0
30,2016 - 17,J.H.S. 088 Peter Rouget,K088,K,15,1308.0,544 7TH AVENUE CONSOLIDATED LOCATION,2,81.0,PS 086K,P.S. K053 |  J.H.S. 088 Peter Rouget |  544 7TH AVENUE CONSOLIDATED LOCATION,,,
31,2016 - 17,330 ALABAMA AVENUE CONSOLIDATED LOCATION,K328,K,19,404.0,330 ALABAMA AVENUE CONSOLIDATED LOCATION,2,950.0,JHS 143K,P.S. 328 Phyllis Wheatley|Hyde Leadership Charter School- Brooklyn|330 ALABAMA AVENUE CONSOLIDATED LOCATION,,,
32,2016 - 17,P.S. 052 Sheepshead Bay,K052,K,22,850.0,,1,155.0,IS 051K,P.S. 052 Sheepshead Bay,0.0,0.0,1.0
33,2016 - 17,Washington Heights Academy,M366,M,6,1117.0,4600 BROADWAY CONSOLIDATED LOCATION,3,1065.0,PS 206M,I.S. 218 Salome Urena |  City College Academy of the Arts |  Middle School 322 |  4600 BROADWAY CONSOLIDATED LOCATION,2.0,1.0,1.0
34,2016 - 17,210 CHESTER STREET CONSOLIDATED LOCATION,K263,K,23,495.0,210 CHESTER STREET CONSOLIDATED LOCATION,2,170.0,IS 259K,P.S./I.S. 323 |  Mott Hall Bridges Academy |  210 CHESTER STREET CONSOLIDATED LOCATION,,,
35,2016 - 17,650 ACADEMY STREET CONSOLIDATED LOCATION,M052,M,6,221.0,650 ACADEMY STREET CONSOLIDATED LOCATION,3,662.0,JHS 047M SCHOOL FOR THE DEAF,J.H.S. 052 Inwood |  High School for Excellence and Innovation | INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE|   650 ACADEMY STREET CONSOLIDATED LOCATION,,,
36,2016 - 17,Art and Design High School,M630,M,2,2697.0,,1,1063.0,JULIA RICHMAN ED. COMPLEX,Fiorello H. LaGuardia High School of Music & Art a,0.0,3.0,5.0
37,2016 - 17,"Science Skills Center High School for Science, Tec",K419,K,13,268.0,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,3,232.0,PS 133K,"Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",,,
38,2016 - 17,P.S. 044 Marcus Garvey,K044,K,13,205.0,,1,161.0,IS 098K,P.S. 044 Marcus Garvey,0.0,3.0,3.0
39,2016 - 17,M.S. 582,K582,K,14,618.0,207 BUSHWICK AVENUE CONSOLIDATED LOCATION,2,251.0,PS 192K,P.S. 196 Ten Eyck |  M.S. 582 |  207 BUSHWICK AVENUE CONSOLIDATED LOCATION,1.0,0.0,2.0
40,2016 - 17,J.H.S. 227 Edward B. Shallow,K227,K,20,1022.0,1075 OCEAN VIEW AVENUE CONSOLIDATED LOCATION,1,1144.0,PS 224K,P.S. 226 Alfred De B.Mason,0.0,0.0,2.0
41,2016 - 17,P.S. 289 George V. Brower,K289,K,17,681.0,,1,119.0,PS 284K,P.S. 288 The Shirley Tanyhill,0.0,1.0,2.0
