,Schools in Building,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
0,P.S. 076 A. Philip Randolph,2.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10035.0,40.802419,-73.942634,11.0,9.0,198.0,1053968.0,1017470001.0,East Harlem North                                                          
1,P.S. 092 Mary McLeod Bethune I St. Hope Leadership Academy Charter ,1.0,3.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10031.0,40.829832,-73.944789,9.0,7.0,237.0,1087824.0,1020840129.0,Hamilton Heights                                                           
2,P.S. 057 Crescent |  Frederick Douglass Academy V. Middle School |  2111 CROTONA AVENUE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10459.0,40.820403,-73.898912,2.0,17.0,87.0,2005348.0,2026960085.0,Longwood                                                                   
3,P.S. 058,2.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10459.0,40.820403,-73.898912,2.0,17.0,87.0,2005348.0,2026960085.0,Longwood                                                                   
4,P.S. 059 The Community School of Technology,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10459.0,40.820403,-73.898912,2.0,17.0,87.0,2005348.0,2026960085.0,Longwood                                                                   
5,J.H.S. 098 Herman Ridder |  Explorations Academy  |    Bronx Envision Academy |  1619 BOSTON ROAD CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10459.0,40.827315,-73.897612,2.0,17.0,131.0,2005276.0,2026920014.0,Longwood                                                                   
6,Bronx Latin|Bronx Career and College Preparatory High School|Dr. Richard Izquierdo Health and Science Charter S|800 HOME STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10475.0,40.864676,-73.824303,10.0,12.0,302.0,2072352.0,2051350200.0,Co-op City                                                                 
7,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10459.0,40.823532,-73.898872,2.0,17.0,12901.0,2005366.0,2026980012.0,Longwood                                                                   
8,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10459.0,40.823532,-73.898872,2.0,17.0,12901.0,2005366.0,2026980012.0,Longwood                                                                   
9,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,1.0,5.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,10459.0,40.823532,-73.898872,2.0,17.0,12901.0,2005366.0,2026980012.0,Longwood                                                                   
10,Arturo A. Schomburg Satellite Academy Bronx|  Bronx Regional High School|  ROADS Charter School II|  1010 REV. J. A. POLITE AVENUE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10459.0,40.823532,-73.898872,2.0,17.0,12901.0,2005366.0,2026980012.0,Longwood                                                                   
11,P.S. 051 Elias Howe,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10039.0,40.826126,-73.937982,10.0,9.0,236.0,1060596.0,1020360047.0,Central Harlem North-Polo Grounds                                          
12,P.S. M079 - Horan School,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10029.0,40.793194,-73.942548,11.0,8.0,180.0,1052436.0,1016590012.0,East Harlem North                                                          
13,P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11205.0,40.696324,-73.97578,2.0,35.0,211.0,3057942.0,3020280001.0,Fort Greene                                                                
14,P.S. 048 Mapleton,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11204.0,40.621871,-73.987396,12.0,44.0,244.0,3132140.0,3055190001.0,Borough Park                                                               
15,River East Elementary |  P.S. 206 Jose Celso Barbosa |  508 EAST 120 STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10026.0,40.797874,-73.949699,10.0,9.0,186.0,1051410.0,1015950015.0,Central Harlem South                                                       
16,J.H.S. 078 Roy H. Mann |SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH(BS)  | CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11234.0,40.621224,-73.91287,18.0,46.0,69602.0,3236496.0,3083880002.0,Georgetown-Marine Park-Bergen Beach-Mill Basin                             
17,Forsyth Satellite Academy |  Cascades High School |  198 FORSYTH STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10038.0,40.711442,-74.000851,1.0,1.0,29.0,1001388.0,1001130100.0,Chinatown                                                                  
18,South Brooklyn Community High School,2.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11215.0,40.676668,-73.985258,6.0,39.0,119.0,3007707.0,3004550001.0,Park Slope-Gowanus                                                         
19,"P.S. 019 Asher Levy |  Technology, Arts, and Sciences Studio |  185 1 AVENUE CONSOLIDATED LOCATION",,,2C,1-250,,,,,,10003.0,40.729636,-73.983818,3.0,2.0,40.0,1006478.0,1004530034.0,East Village                                                               
20,47 The American Sign Language and English Secondar |  The 47 American Sign Language & English Lower Scho |  223 EAST 23 STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10010.0,40.738548,-73.982455,6.0,2.0,64.0,,,Gramercy                                                                   
21,Brooklyn School for Global Studies | Success Academy C harter School- Cobble Hill |   School for International Studies |  284 BALTIC STREET CONSOLIDATED LOCATION,,,4C,501-750,,,,,,11201.0,40.685419,-73.993351,6.0,33.0,69.0,3006401.0,3004020001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
22,New York City Lab Middle School for Collaborative |  N.Y.C. Lab School for Collaborative Studies |  N.Y.C. Museum School |  333 WEST  17 STREET CONSOLIDATED LOCATION,,,4C,501-750,,,,,,10011.0,40.742129,-74.002198,4.0,3.0,83.0,1079152.0,1007410010.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
23,Pathways in Technology Early College High School  |  Academy for Health Careers |  150 ALBANY AVENUE CONSOLIDATED LOCATION,,,4C,501-750,,,,,,11213.0,40.675612,-73.938843,8.0,36.0,311.0,3030553.0,3012160046.0,Crown Heights North                                                        
24,"Academy for College Preparation and Career Explora |  Academy of Hospitality and Tourism |  Erasmus Yabc |  High School for Youth and Community Development at |  High School for Service & Learning at Erasmus |  Science, Technology and Research Early College Hig |  911 FLATBUSH AVENUE CONSOLIDATED LOCATION",,,4C,501-750,,,,,,11226.0,40.649787,-73.95855,14.0,40.0,794.0,3336215.0,3051030010.0,Erasmus                                                                    
25,P.S. 134 Henrietta Szold |  293 EAST BROADWAY CONSOLIDATED LOCATION,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10030.0,40.817372,-73.947712,10.0,9.0,22102.0,1059460.0,1019600001.0,Central Harlem North-Polo Grounds                                          
26,Middle School for Art and Philosophy|  KINGS COLLEGIATE CHARTER SCHOOL(BS)|  1084 LENOX ROAD CONSOLIDATED LOCATION,3.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11212.0,40.658295,-73.920109,17.0,41.0,886.0,3101840.0,3046690037.0,Rugby-Remsen Village                                                       
