,School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
0,2016 - 17,P.S. M079 - Horan School,M079,M,5,508.0,,1,657.0,IS 070M,P.S. 076 A. Philip Randolph,0.0,2.0,2.0,2.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10035.0,40.802419,-73.942634,11.0,9.0,198.0,1053968.0,1017470001.0,East Harlem North                                                          
1,2016 - 17,P.S./I.S. 210 - Twenty-first Century Academy for C,M210,M,6,277.0,,2,701.0,PS/IS 089M,P.S. 092 Mary McLeod Bethune I St. Hope Leadership Academy Charter ,1.0,3.0,2.0,1.0,3.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10031.0,40.829832,-73.944789,9.0,7.0,237.0,1087824.0,1020840129.0,Hamilton Heights                                                           
2,2016 - 17,888 REV J A POLITE AVE CONSOLIDATED LOCATION,X060,X,8,248.0,2111 CROTONA AVENUE CONSOLIDATED LOCATION,2,370.0,PS 047X,P.S. 057 Crescent |  Frederick Douglass Academy V. Middle School |  2111 CROTONA AVENUE CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,10459.0,40.820403,-73.898912,2.0,17.0,87.0,2005348.0,2026960085.0,Longwood                                                                   
3,2016 - 17,P.S. 333 - The Museum School,X333,X,8,502.0,,1,372.0,PS 050X,P.S. 058,0.0,2.0,3.0,2.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10459.0,40.820403,-73.898912,2.0,17.0,87.0,2005348.0,2026960085.0,Longwood                                                                   
4,2016 - 17,The Academy of the Arts,X335,X,8,604.0,,1,372.0,PS 050X,P.S. 059 The Community School of Technology,1.0,0.0,0.0,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10459.0,40.820403,-73.898912,2.0,17.0,87.0,2005348.0,2026960085.0,Longwood                                                                   
5,2016 - 17,1180 REV. J.A. POLITE AVE. CONSOLIDATED LOCATION,X099,X,12,210.0,1619 BOSTON ROAD CONSOLIDATED LOCATION,3,428.0,CS 090X,J.H.S. 098 Herman Ridder |  Explorations Academy  |    Bronx Envision Academy |  1619 BOSTON ROAD CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,10459.0,40.827315,-73.897612,2.0,17.0,131.0,2005276.0,2026920014.0,Longwood                                                                   
6,2016 - 17,P.S. 160 Walt Disney,X160,X,11,296.0,800 HOME STREET CONSOLIDATED LOCATION,3,404.0,PS 152X,Bronx Latin|Bronx Career and College Preparatory High School|Dr. Richard Izquierdo Health and Science Charter S|800 HOME STREET CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,10475.0,40.864676,-73.824303,10.0,12.0,302.0,2072352.0,2051350200.0,Co-op City                                                                 
7,2016 - 17,ROADS Charter School II,X200,X,12,387.0,1110 BOSTON ROAD CONSOLIDATED LOCATION,4,524.0,PS/MS 306X,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,10459.0,40.823532,-73.898872,2.0,17.0,12901.0,2005366.0,2026980012.0,Longwood                                                                   
8,2016 - 17,Arturo A. Schomburg Satellite Academy Bronx,X446,X,12,288.0,1110 BOSTON ROAD CONSOLIDATED LOCATION,4,524.0,PS/MS 306X,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,10459.0,40.823532,-73.898872,2.0,17.0,12901.0,2005366.0,2026980012.0,Longwood                                                                   
9,2016 - 17,Bronx Regional High School,X480,X,12,1463.0,1110 BOSTON ROAD CONSOLIDATED LOCATION,4,524.0,PS/MS 306X,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,2.0,4.0,30.0,1.0,5.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,10459.0,40.823532,-73.898872,2.0,17.0,12901.0,2005366.0,2026980012.0,Longwood                                                                   
